Abundance,ID,name
"297","K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
"294","K01790","dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"
"290","K07738","transcriptional repressor NrdR"
"287","K08303","putative protease [EC:3.4.-.-]"
"284","K11251","histone H2A"
"282","K15371","glutamate dehydrogenase [EC:1.4.1.2]"
"282","K00937","polyphosphate kinase [EC:2.7.4.1]"
"281","K11252","histone H2B"
"280","K06024","segregation and condensation protein B"
"280","K03584","DNA repair protein RecO (recombination protein O)"
"278","K02968","small subunit ribosomal protein S20"
"270","K01653","acetolactate synthase I/III small subunit [EC:2.2.1.6]"
"269","K18979","epoxyqueuosine reductase [EC:1.17.99.6]"
"269","K03621","phosphate acyltransferase [EC:2.3.1.274]"
"268","K02881","large subunit ribosomal protein L18"
"261","K02986","small subunit ribosomal protein S4"
"256","K21929","uracil-DNA glycosylase [EC:3.2.2.27]"
"255","K03744","LemA protein"
"255","K01613","phosphatidylserine decarboxylase [EC:4.1.1.65]"
"254","K01972","DNA ligase (NAD+) [EC:6.5.1.2]"
"254","K00426","cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"
"251","K02871","large subunit ribosomal protein L13"
"247","K07560","D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"
"247","K00954","pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]"
"245","K00857","thymidine kinase [EC:2.7.1.21]"
"244","K07240","chromate transporter"
"244","K02970","small subunit ribosomal protein S21"
"242","K01778","diaminopimelate epimerase [EC:5.1.1.7]"
"240","K11253","histone H3"
"236","K03070","preprotein translocase subunit SecA [EC:7.4.2.8]"
"235","K08973","putative membrane protein"
"234","K06187","recombination protein RecR"
"234","K03635","molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
"232","K09748","ribosome maturation factor RimP"
"232","K02876","large subunit ribosomal protein L15"
"229","K07152","protein SCO1/2"
"228","K05896","segregation and condensation protein A"
"228","K02956","small subunit ribosomal protein S15"
"228","K02518","translation initiation factor IF-1"
"225","K07393","glutathionyl-hydroquinone reductase [EC:1.8.5.7]"
"222","K07484","transposase"
"220","K00640","serine O-acetyltransferase [EC:2.3.1.30]"
"219","K07407","alpha-galactosidase [EC:3.2.1.22]"
"217","K03602","exodeoxyribonuclease VII small subunit [EC:3.1.11.6]"
"216","K00287","dihydrofolate reductase [EC:1.5.1.3]"
"213","K01077","alkaline phosphatase [EC:3.1.3.1]"
"212","K00945","CMP/dCMP kinase [EC:2.7.4.25]"
"211","K03702","excinuclease ABC subunit B"
"209","K01772","protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]"
"208","K17609","nucleoredoxin [EC:1.8.1.8]"
"208","K02864","large subunit ribosomal protein L10"
"207","K06925","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE"
"206","K07093","uncharacterized protein"
"206","K02946","small subunit ribosomal protein S10"
"206","K00783","23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]"
"204","K07460","putative endonuclease"
"204","K02914","large subunit ribosomal protein L34"
"202","K06891","ATP-dependent Clp protease adaptor protein ClpS"
"202","K01579","aspartate 1-decarboxylase [EC:4.1.1.11]"
"202","K00927","phosphoglycerate kinase [EC:2.7.2.3]"
"201","K01749","hydroxymethylbilane synthase [EC:2.5.1.61]"
"197","K09903","uridylate kinase [EC:2.7.4.22]"
"197","K02221","YggT family protein"
"196","K07735","putative transcriptional regulator"
"193","K06958","RNase adapter protein RapZ"
"193","K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]"
"192","K03088","RNA polymerase sigma-70 factor, ECF subfamily"
"192","K02372","3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]"
"190","K03832","periplasmic protein TonB"
"190","K02939","large subunit ribosomal protein L9"
"189","K09705","uncharacterized protein"
"189","K07082","UPF0755 protein"
"188","K01607","4-carboxymuconolactone decarboxylase [EC:4.1.1.44]"
"187","K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6]"
"184","K08999","uncharacterized protein"
"184","K01619","deoxyribose-phosphate aldolase [EC:4.1.2.4]"
"183","K07089","uncharacterized protein"
"182","K06442","23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]"
"182","K01070","S-formylglutathione hydrolase [EC:3.1.2.12]"
"180","K02916","large subunit ribosomal protein L35"
"179","K01246","DNA-3-methyladenine glycosylase I [EC:3.2.2.20]"
"178","K02492","glutamyl-tRNA reductase [EC:1.2.1.70]"
"177","K08994","ion channel-forming bestrophin family protein"
"176","K11749","regulator of sigma E protease [EC:3.4.24.-]"
"176","K03642","rare lipoprotein A"
"176","K03075","preprotein translocase subunit SecG"
"175","K03569","rod shape-determining protein MreB and related proteins"
"174","K02902","large subunit ribosomal protein L28"
"174","K02860","16S rRNA processing protein RimM"
"174","K00163","pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"172","K03060","DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]"
"170","K06876","deoxyribodipyrimidine photolyase-related protein"
"170","K01611","S-adenosylmethionine decarboxylase [EC:4.1.1.50]"
"169","K08591","acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]"
"168","K06204","DnaK suppressor protein"
"168","K03969","phage shock protein A"
"167","K03593","ATP-binding protein involved in chromosome partitioning"
"159","K03545","trigger factor"
"158","K02410","flagellar motor switch protein FliG"
"158","K01951","GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]"
"156","K17893","ubiquinol oxidase [EC:1.10.3.11]"
"155","K00540","F420H(2)-dependent quinone reductase [EC:1.1.98.-]"
"154","K07068","uncharacterized protein"
"154","K02913","large subunit ribosomal protein L33"
"153","K01273","membrane dipeptidase [EC:3.4.13.19]"
"152","K02015","iron complex transport system permease protein"
"150","K03637","cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]"
"149","K03186","flavin prenyltransferase [EC:2.5.1.129]"
"149","K02911","large subunit ribosomal protein L32"
"149","K01095","phosphatidylglycerophosphatase A [EC:3.1.3.27]"
"148","K05810","polyphenol oxidase [EC:1.10.3.-]"
"148","K03558","membrane protein required for colicin V production"
"148","K02931","large subunit ribosomal protein L5"
"147","K08998","uncharacterized protein"
"147","K06201","copper homeostasis protein"
"146","K07037","cyclic-di-AMP phosphodiesterase PgpH [EC:3.1.4.-]"
"146","K02258","cytochrome c oxidase assembly protein subunit 11"
"146","K01620","threonine aldolase [EC:4.1.2.48]"
"145","K04083","molecular chaperone Hsp33"
"144","K02863","large subunit ribosomal protein L1"
"144","K01299","carboxypeptidase Taq [EC:3.4.17.19]"
"143","K03525","type III pantothenate kinase [EC:2.7.1.33]"
"143","K03073","preprotein translocase subunit SecE"
"142","K06206","sugar fermentation stimulation protein A"
"142","K06134","3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]"
"140","K03925","MraZ protein"
"140","K03563","carbon storage regulator"
"140","K02110","F-type H+-transporting ATPase subunit c"
"139","K07090","uncharacterized protein"
"138","K07058","membrane protein"
"138","K01489","cytidine deaminase [EC:3.5.4.5]"
"138","K00452","3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"
"136","K03501","16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]"
"136","K03210","preprotein translocase subunit YajC"
"136","K02259","cytochrome c oxidase assembly protein subunit 15"
"135","K09986","uncharacterized protein"
"135","K02892","large subunit ribosomal protein L23"
"135","K02200","cytochrome c-type biogenesis protein CcmH"
"133","K03544","ATP-dependent Clp protease ATP-binding subunit ClpX"
"133","K02238","competence protein ComEC"
"133","K01185","lysozyme [EC:3.2.1.17]"
"132","K02926","large subunit ribosomal protein L4"
"132","K02919","large subunit ribosomal protein L36"
"131","K01812","glucuronate isomerase [EC:5.3.1.12]"
"131","K01775","alanine racemase [EC:5.1.1.1]"
"130","K03536","ribonuclease P protein component [EC:3.1.26.5]"
"130","K01206","alpha-L-fucosidase [EC:3.2.1.51]"
"129","K08641","zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]"
"129","K03787","5'-nucleotidase [EC:3.1.3.5]"
"128","K07056","16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]"
"128","K03071","preprotein translocase subunit SecB"
"127","K07112","uncharacterized protein"
"127","K01823","isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]"
"126","K05770","translocator protein"
"125","K08316","16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]"
"122","K02393","flagellar L-ring protein precursor FlgH"
"121","K21470","L,D-transpeptidase YcbB"
"120","K03299","gluconate:H+ symporter, GntP family"
"118","K02339","DNA polymerase III subunit chi [EC:2.7.7.7]"
"118","K00573","protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
"117","K09930","uncharacterized protein"
"117","K01588","5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]"
"116","K07566","L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]"
"116","K06888","uncharacterized protein"
"116","K04485","DNA repair protein RadA/Sms"
"115","K09966","uncharacterized protein"
"115","K09117","uncharacterized protein"
"115","K03630","DNA repair protein RadC"
"114","K07042","probable rRNA maturation factor"
"114","K03570","rod shape-determining protein MreC"
"114","K00951","GTP pyrophosphokinase [EC:2.7.6.5]"
"113","K09767","cyclic-di-GMP-binding protein"
"112","K07402","xanthine dehydrogenase accessory factor"
"112","K06940","uncharacterized protein"
"112","K01809","mannose-6-phosphate isomerase [EC:5.3.1.8]"
"111","K09005","uncharacterized protein"
"111","K04754","phospholipid-binding lipoprotein MlaA"
"111","K02435","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"
"110","K03589","cell division protein FtsQ"
"110","K00865","glycerate 2-kinase [EC:2.7.1.165]"
"108","K02982","small subunit ribosomal protein S3"
"108","K01042","L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]"
"106","K08305","membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]"
"106","K02233","adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"
"105","K22468","polyphosphate kinase [EC:2.7.4.1]"
"105","K01880","glycyl-tRNA synthetase [EC:6.1.1.14]"
"104","K09780","uncharacterized protein"
"103","K22736","vacuolar iron transporter family protein"
"103","K12160","small ubiquitin-related modifier"
"103","K07481","transposase, IS5 family"
"102","K05807","outer membrane protein assembly factor BamD"
"102","K03781","catalase [EC:1.11.1.6]"
"102","K03652","DNA-3-methyladenine glycosylase [EC:3.2.2.21]"
"102","K02113","F-type H+-transporting ATPase subunit delta"
"101","K09768","uncharacterized protein"
"101","K07154","serine/threonine-protein kinase HipA [EC:2.7.11.1]"
"101","K06883","uncharacterized protein"
"100","K03648","uracil-DNA glycosylase [EC:3.2.2.27]"
"100","K02634","apocytochrome f"
"100","K02394","flagellar P-ring protein precursor FlgI"
"100","K01736","chorismate synthase [EC:4.2.3.5]"
"99","K13292","phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]"
"99","K09680","type II pantothenate kinase [EC:2.7.1.33]"
"98","K03271","D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]"
"98","K03154","sulfur carrier protein"
"98","K01889","phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
"97","K07390","monothiol glutaredoxin"
"97","K02109","F-type H+-transporting ATPase subunit b"
"97","K01785","aldose 1-epimerase [EC:5.1.3.3]"
"96","K12942","aminobenzoyl-glutamate transport protein"
"96","K07146","UPF0176 protein"
"95","K08976","putative membrane protein"
"95","K03978","GTP-binding protein"
"94","K13288","oligoribonuclease [EC:3.1.-.-]"
"94","K00451","homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
"93","K02895","large subunit ribosomal protein L24"
"93","K02004","putative ABC transport system permease protein"
"92","K03808","paraquat-inducible protein A"
"92","K00809","deoxyhypusine synthase [EC:2.5.1.46]"
"91","K22733","magnesium transporter"
"91","K02965","small subunit ribosomal protein S19"
"91","K01266","D-aminopeptidase [EC:3.4.11.19]"
"90","K19689","aminopeptidase [EC:3.4.11.-]"
"90","K11904","type VI secretion system secreted protein VgrG"
"90","K07507","putative Mg2+ transporter-C (MgtC) family protein"
"90","K07491","putative transposase"
"90","K06973","uncharacterized protein"
"90","K04759","ferrous iron transport protein B"
"90","K02994","small subunit ribosomal protein S8"
"89","K07736","CarD family transcriptional regulator"
"89","K03116","sec-independent protein translocase protein TatA"
"88","K02510","4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
"87","K01458","N-formylglutamate deformylase [EC:3.5.1.68]"
"86","K09001","anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"
"86","K03644","lipoyl synthase [EC:2.8.1.8]"
"86","K01425","glutaminase [EC:3.5.1.2]"
"86","K01129","dGTPase [EC:3.1.5.1]"
"85","K07466","replication factor A1"
"85","K05524","ferredoxin"
"85","K02874","large subunit ribosomal protein L14"
"84","K06213","magnesium transporter"
"84","K02388","flagellar basal-body rod protein FlgC"
"83","K06949","ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]"
"83","K06886","hemoglobin"
"83","K04762","ribosome-associated heat shock protein Hsp15"
"83","K00971","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]"
"82","K02961","small subunit ribosomal protein S17"
"82","K01805","xylose isomerase [EC:5.3.1.5]"
"81","K07733","prophage regulatory protein"
"81","K02231","adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]"
"80","K09160","uncharacterized protein"
"80","K07562","nonsense-mediated mRNA decay protein 3"
"80","K07040","uncharacterized protein"
"80","K02160","acetyl-CoA carboxylase biotin carboxyl carrier protein"
"80","K01494","dCTP deaminase [EC:3.5.4.13]"
"79","K09928","uncharacterized protein"
"79","K09761","16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]"
"79","K06938","uncharacterized protein"
"79","K03811","nicotinamide mononucleotide transporter"
"79","K02907","large subunit ribosomal protein L30"
"78","K14376","poly(A) polymerase [EC:2.7.7.19]"
"78","K03926","periplasmic divalent cation tolerance protein"
"77","K07038","inner membrane protein"
"76","K09781","uncharacterized protein"
"76","K07496","putative transposase"
"76","K06991","uncharacterized protein"
"76","K03809","NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]"
"76","K03312","glutamate:Na+ symporter, ESS family"
"75","K08906","cytochrome c6"
"75","K07006","uncharacterized protein"
"75","K02890","large subunit ribosomal protein L22"
"75","K01868","threonyl-tRNA synthetase [EC:6.1.1.3]"
"75","K01719","uroporphyrinogen-III synthase [EC:4.2.1.75]"
"74","K03611","disulfide bond formation protein DsbB"
"74","K02197","cytochrome c-type biogenesis protein CcmE"
"73","K06190","intracellular septation protein"
"73","K03665","GTPase"
"73","K02422","flagellar protein FliS"
"73","K02195","heme exporter protein C"
"72","K09958","uncharacterized protein"
"72","K09950","uncharacterized protein"
"72","K09796","periplasmic copper chaperone A"
"72","K03565","regulatory protein"
"72","K03377","N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]"
"72","K01113","alkaline phosphatase D [EC:3.1.3.1]"
"71","K03325","arsenite transporter"
"70","K12606","CCR4-NOT transcription complex subunit 9"
"70","K09888","cell division protein ZapA"
"70","K04802","proliferating cell nuclear antigen"
"70","K01104","protein-tyrosine phosphatase [EC:3.1.3.48]"
"69","K03259","translation initiation factor 4E"
"68","K06864","pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]"
"68","K04651","hydrogenase nickel incorporation protein HypA/HybF"
"68","K03704","cold shock protein"
"68","K02720","photosystem II cytochrome c550"
"68","K02640","cytochrome b6-f complex subunit 5"
"68","K02398","negative regulator of flagellin synthesis FlgM"
"68","K02313","chromosomal replication initiator protein"
"67","K08738","cytochrome c"
"66","K07043","uncharacterized protein"
"66","K06974","archaemetzincin [EC:3.4.-.-]"
"66","K03600","stringent starvation protein B"
"66","K03264","translation initiation factor 6"
"66","K01483","ureidoglycolate lyase [EC:4.3.2.3]"
"66","K00784","ribonuclease Z [EC:3.1.26.11]"
"65","K13256","protein PsiE"
"65","K11811","arsenical resistance protein ArsH"
"65","K09992","uncharacterized protein"
"65","K09771","small multidrug resistance family-3 protein"
"65","K08311","putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]"
"65","K03263","translation initiation factor 5A"
"65","K02194","heme exporter protein B"
"64","K20069","adaptin ear-binding coat-associated protein 1/2"
"64","K02704","photosystem II CP47 chlorophyll apoprotein"
"64","K01729","poly(beta-D-mannuronate) lyase [EC:4.2.2.3]"
"64","K00411","ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"63","K04047","starvation-inducible DNA-binding protein"
"63","K03608","cell division topological specificity factor"
"63","K01725","cyanate lyase [EC:4.2.1.104]"
"63","K00748","lipid-A-disaccharide synthase [EC:2.4.1.182]"
"63","K00340","NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"
"62","K17103","CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"
"62","K03705","heat-inducible transcriptional repressor"
"62","K03190","urease accessory protein"
"62","K02963","small subunit ribosomal protein S18"
"62","K01470","creatinine amidohydrolase [EC:3.5.2.10]"
"62","K01154","type I restriction enzyme, S subunit [EC:3.1.21.3]"
"62","K00457","4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]"
"61","K13583","GcrA cell cycle regulator"
"61","K09790","uncharacterized protein"
"61","K07113","UPF0716 protein FxsA"
"61","K04063","lipoyl-dependent peroxidase"
"61","K03269","UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]"
"61","K01638","malate synthase [EC:2.3.3.9]"
"61","K00469","inositol oxygenase [EC:1.13.99.1]"
"60","K18587","ubiquinone biosynthesis protein COQ9"
"60","K14998","surfeit locus 1 family protein"
"60","K11254","histone H4"
"60","K06987","uncharacterized protein"
"60","K06042","precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]"
"60","K02996","small subunit ribosomal protein S9"
"60","K01442","choloylglycine hydrolase [EC:3.5.1.24]"
"59","K22074","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
"59","K07742","uncharacterized protein"
"59","K07574","RNA-binding protein"
"59","K07192","flotillin"
"59","K04654","hydrogenase expression/formation protein HypD"
"59","K01297","muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]"
"59","K01141","exodeoxyribonuclease I [EC:3.1.11.1]"
"58","K14742","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB"
"58","K09806","uncharacterized protein"
"58","K07287","outer membrane protein assembly factor BamC"
"58","K07283","putative salt-induced outer membrane protein"
"58","K06176","tRNA pseudouridine13 synthase [EC:5.4.99.27]"
"58","K05782","benzoate membrane transport protein"
"58","K03615","Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.2.1.2]"
"58","K02936","large subunit ribosomal protein L7Ae"
"57","K04035","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]"
"57","K04028","ethanolamine utilization protein EutN"
"57","K02715","PsbN protein"
"57","K02556","chemotaxis protein MotA"
"56","K13626","flagellar assembly factor FliW"
"56","K06203","CysZ protein"
"56","K05786","chloramphenicol-sensitive protein RarD"
"56","K03192","urease accessory protein"
"56","K02992","small subunit ribosomal protein S7"
"56","K02948","small subunit ribosomal protein S11"
"56","K00851","gluconokinase [EC:2.7.1.12]"
"55","K02639","ferredoxin"
"55","K01759","lactoylglutathione lyase [EC:4.4.1.5]"
"55","K01424","L-asparaginase [EC:3.5.1.1]"
"54","K11275","histone H1/5"
"54","K09765","epoxyqueuosine reductase [EC:1.17.99.6]"
