Abundance,ID,name
"2323","PF01391","Collagen triple helix repeat (20 copies)"
"2284","PF00330","Aconitase family (aconitate hydratase)"
"2241","PF01039","Carboxyl transferase domain"
"2228","PF00920","Dehydratase family"
"2216","PF01926","50S ribosome-binding GTPase"
"2213","PF01266","FAD dependent oxidoreductase"
"2207","PF04542","Sigma-70 region 2"
"2207","PF00076","RNA recognition motif"
"2192","PF07885","Ion channel"
"2182","PF00152","tRNA synthetases class II (D, K and N)"
"2171","PF00890","FAD binding domain"
"2147","PF00534","Glycosyl transferases group 1"
"2136","PF00562","RNA polymerase Rpb2, domain 6"
"2103","PF01041","DegT/DnrJ/EryC1/StrS aminotransferase family"
"2096","PF13855","Leucine rich repeat"
"2088","PF01019","Gamma-glutamyltranspeptidase"
"2085","PF00240","Ubiquitin family"
"2064","PF00437","Type II/IV secretion system protein"
"2062","PF00805","Pentapeptide repeats (8 copies)"
"2047","PF02826","D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
"2041","PF13202","EF hand"
"2039","PF00521","DNA gyrase/topoisomerase IV, subunit A"
"2032","PF00326","Prolyl oligopeptidase family"
"2031","PF03109","ABC1 atypical kinase-like domain"
"2028","PF00115","Cytochrome C and Quinol oxidase polypeptide I"
"2026","PF01425","Amidase"
"2016","PF00112","Papain family cysteine protease"
"2005","PF13812","Pentatricopeptide repeat domain"
"1995","PF01571","Aminomethyltransferase folate-binding domain"
"1975","PF00118","TCP-1/cpn60 chaperonin family"
"1936","PF02779","Transketolase, pyrimidine binding domain"
"1934","PF00275","EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)"
"1927","PF00108","Thiolase, N-terminal domain"
"1908","PF02771","Acyl-CoA dehydrogenase, N-terminal domain"
"1897","PF00083","Sugar (and other) transporter"
"1892","PF00575","S1 RNA binding domain"
"1872","PF00571","CBS domain"
"1842","PF00561","alpha/beta hydrolase fold"
"1842","PF00124","Photosynthetic reaction centre protein"
"1826","PF00512","His Kinase A (phospho-acceptor) domain"
"1821","PF07715","TonB-dependent Receptor Plug Domain"
"1809","PF00397","WW domain"
"1784","PF00481","Protein phosphatase 2C"
"1780","PF00483","Nucleotidyl transferase"
"1757","PF02492","CobW/HypB/UreG, nucleotide-binding domain"
"1750","PF00664","ABC transporter transmembrane region"
"1736","PF01408","Oxidoreductase family, NAD-binding Rossmann fold"
"1732","PF07690","Major Facilitator Superfamily"
"1729","PF00168","C2 domain"
"1727","PF00464","Serine hydroxymethyltransferase"
"1721","PF13450","NAD(P)-binding Rossmann-like domain"
"1719","PF12774","Hydrolytic ATP binding site of dynein motor region"
"1708","PF00474","Sodium:solute symporter family"
"1707","PF00206","Lyase"
"1703","PF00476","DNA polymerase family A"
"1700","PF08241","Methyltransferase domain"
"1698","PF00580","UvrD/REP helicase N-terminal domain"
"1695","PF00749","tRNA synthetases class I (E and Q), catalytic domain"
"1694","PF00583","Acetyltransferase (GNAT) family"
"1692","PF00990","Diguanylate cyclase, GGDEF domain"
"1688","PF01839","FG-GAP repeat"
"1679","PF00254","FKBP-type peptidyl-prolyl cis-trans isomerase"
"1676","PF01411","tRNA synthetases class II (A)"
"1661","PF03781","Sulfatase-modifying factor enzyme 1"
"1646","PF00557","Metallopeptidase family M24"
"1646","PF00421","Photosystem II protein"
"1639","PF00085","Thioredoxin"
"1635","PF01207","Dihydrouridine synthase (Dus)"
"1632","PF13374","Tetratricopeptide repeat"
"1609","PF03030","Inorganic H+ pyrophosphatase"
"1602","PF06808","Tripartite ATP-independent periplasmic transporter, DctM component"
"1581","PF00612","IQ calmodulin-binding motif"
"1577","PF08393","Dynein heavy chain, N-terminal region 2"
"1574","PF13193","AMP-binding enzyme C-terminal domain"
"1564","PF00071","Ras family"
"1560","PF14559","Tetratricopeptide repeat"
"1560","PF00300","Histidine phosphatase superfamily (branch 1)"
"1549","PF12228","Protein of unknown function (DUF3604)"
"1549","PF00198","2-oxoacid dehydrogenases acyltransferase (catalytic domain)"
"1538","PF01134","Glucose inhibited division protein A"
"1530","PF11617","Putative metal-binding motif"
"1529","PF13646","HEAT repeats"
"1528","PF00293","NUDIX domain"
"1523","PF00849","RNA pseudouridylate synthase"
"1517","PF00180","Isocitrate/isopropylmalate dehydrogenase"
"1517","PF00135","Carboxylesterase family"
"1516","PF01645","Conserved region in glutamate synthase"
"1512","PF00676","Dehydrogenase E1 component"
"1511","PF00022","Actin"
"1510","PF00082","Subtilase family"
"1506","PF00733","Asparagine synthase"
"1504","PF00579","tRNA synthetases class I (W and Y)"
"1503","PF07586","Protein of unknown function (DUF1552)"
"1497","PF00144","Beta-lactamase"
"1495","PF00162","Phosphoglycerate kinase"
"1494","PF00504","Chlorophyll A-B binding protein"
"1491","PF00593","TonB dependent receptor"
"1477","PF07974","EGF-like domain"
"1452","PF03133","Tubulin-tyrosine ligase family"
"1451","PF00296","Luciferase-like monooxygenase"
"1449","PF00425","chorismate binding enzyme"
"1448","PF00916","Sulfate permease family"
"1433","PF00753","Metallo-beta-lactamase superfamily"
"1429","PF00574","Clp protease"
"1423","PF07724","AAA domain (Cdc48 subfamily)"
"1410","PF00443","Ubiquitin carboxyl-terminal hydrolase"
"1408","PF09334","tRNA synthetases class I (M)"
"1403","PF05721","Phytanoyl-CoA dioxygenase (PhyH)"
"1394","PF03466","LysR substrate binding domain"
"1388","PF02514","CobN/Magnesium Chelatase"
"1383","PF00793","DAHP synthetase I family"
"1380","PF01535","PPR repeat"
"1379","PF00285","Citrate synthase, C-terminal domain"
"1376","PF03441","FAD binding domain of DNA photolyase"
"1370","PF00385","Chromo (CHRromatin Organisation MOdifier) domain"
"1368","PF00448","SRP54-type protein, GTPase domain"
"1365","PF01565","FAD binding domain"
"1350","PF00905","Penicillin binding protein transpeptidase domain"
"1349","PF02668","Taurine catabolism dioxygenase TauD, TfdA family"
"1343","PF00563","EAL domain"
"1333","PF04564","U-box domain"
"1332","PF00120","Glutamine synthetase, catalytic domain"
"1306","PF12780","P-loop containing dynein motor region D4"
"1304","PF00648","Calpain family cysteine protease"
"1300","PF17921","Integrase zinc binding domain"
"1298","PF03446","NAD binding domain of 6-phosphogluconate dehydrogenase"
"1290","PF00294","pfkB family carbohydrate kinase"
"1288","PF08245","Mur ligase middle domain"
"1279","PF17820","PDZ domain"
"1277","PF07517","SecA DEAD-like domain"
"1277","PF02770","Acyl-CoA dehydrogenase, middle domain"
"1273","PF00933","Glycosyl hydrolase family 3 N terminal domain"
"1269","PF00149","Calcineurin-like phosphoesterase"
"1261","PF00067","Cytochrome P450"
"1260","PF00892","EamA-like transporter family"
"1260","PF00589","Phage integrase family"
"1259","PF16347","N-sulphoglucosamine sulphohydrolase, C-terminal"
"1259","PF00348","Polyprenyl synthetase"
"1256","PF02321","Outer membrane efflux protein"
"1256","PF00364","Biotin-requiring enzyme"
"1251","PF01098","Cell cycle protein"
"1238","PF00113","Enolase, C-terminal TIM barrel domain"
"1234","PF00311","Phosphoenolpyruvate carboxylase"
"1227","PF06439","3-keto-disaccharide hydrolase"
"1226","PF00478","IMP dehydrogenase / GMP reductase domain"
"1221","PF07635","Planctomycete cytochrome C"
"1221","PF00795","Carbon-nitrogen hydrolase"
"1221","PF00486","Transcriptional regulatory protein, C terminal"
"1216","PF07230","Bacteriophage T4-like portal protein (Gp20)"
"1208","PF01436","NHL repeat"
"1206","PF00696","Amino acid kinase family"
"1204","PF01979","Amidohydrolase family"
"1203","PF03971","Monomeric isocitrate dehydrogenase"
"1203","PF00183","Hsp90 protein"
"1201","PF00578","AhpC/TSA family"
"1198","PF01593","Flavin containing amine oxidoreductase"
"1197","PF00126","Bacterial regulatory helix-turn-helix protein, lysR family"
"1190","PF00872","Transposase, Mutator family"
"1189","PF00815","Histidinol dehydrogenase"
"1183","PF00999","Sodium/hydrogen exchanger family"
"1182","PF00249","Myb-like DNA-binding domain"
"1176","PF01458","SUF system FeS cluster assembly, SufBD"
"1171","PF01208","Uroporphyrinogen decarboxylase (URO-D)"
"1168","PF00224","Pyruvate kinase, barrel domain"
"1164","PF01131","DNA topoisomerase"
"1162","PF03462","PCRF domain"
"1159","PF03572","Peptidase family S41"
"1159","PF00353","RTX calcium-binding nonapeptide repeat (4 copies)"
"1155","PF14312","FG-GAP repeat"
"1154","PF00459","Inositol monophosphatase family"
"1153","PF17917","RNase H-like domain found in reverse transcriptase"
"1138","PF00107","Zinc-binding dehydrogenase"
"1137","PF00318","Ribosomal protein S2"
"1135","PF12799","Leucine Rich repeats (2 copies)"
"1133","PF00456","Transketolase, thiamine diphosphate binding domain"
"1129","PF04851","Type III restriction enzyme, res subunit"
"1128","PF00588","SpoU rRNA Methylase family"
"1125","PF00883","Cytosol aminopeptidase family, catalytic domain"
"1121","PF00654","Voltage gated chloride channel"
"1119","PF00814","tRNA N6-adenosine threonylcarbamoyltransferase"
"1116","PF07963","Prokaryotic N-terminal methylation motif"
"1116","PF01235","Sodium:alanine symporter family"
"1108","PF01702","Queuine tRNA-ribosyltransferase"
"1108","PF01699","Sodium/calcium exchanger protein"
"1106","PF02538","Hydantoinase B/oxoprolinase"
"1103","PF02233","NAD(P) transhydrogenase beta subunit"
"1099","PF04998","RNA polymerase Rpb1, domain 5"
"1099","PF02803","Thiolase, C-terminal domain"
"1098","PF13621","Cupin-like domain"
"1093","PF02852","Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
"1091","PF00211","Adenylate and Guanylate cyclase catalytic domain"
"1085","PF13365","Trypsin-like peptidase domain"
"1083","PF02737","3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
"1080","PF18199","Dynein heavy chain C-terminal domain"
"1079","PF01554","MatE"
"1077","PF07726","ATPase family associated with various cellular activities (AAA)"
"1071","PF00709","Adenylosuccinate synthetase"
"1071","PF00268","Ribonucleotide reductase, small chain"
"1070","PF13649","Methyltransferase domain"
"1070","PF04055","Radical SAM superfamily"
"1069","PF12781","ATP-binding dynein motor region"
"1069","PF02775","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
"1066","PF08240","Alcohol dehydrogenase GroES-like domain"
"1066","PF02653","Branched-chain amino acid transport system / permease component"
"1066","PF00701","Dihydrodipicolinate synthetase family"
"1063","PF07676","WD40-like Beta Propeller Repeat"
"1055","PF00310","Glutamine amidotransferases class-II"
"1052","PF00977","Histidine biosynthesis protein"
"1049","PF01546","Peptidase family M20/M25/M40"
"1047","PF07733","Bacterial DNA polymerase III alpha NTPase domain"
"1047","PF01262","Alanine dehydrogenase/PNT, C-terminal domain"
"1046","PF00498","FHA domain"
"1043","PF00595","PDZ domain"
"1041","PF05970","PIF1-like helicase"
"1041","PF00642","Zinc finger C-x8-C-x5-C-x3-H type (and similar)"
"1040","PF00450","Serine carboxypeptidase"
"1039","PF01625","Peptide methionine sulfoxide reductase"
"1038","PF00089","Trypsin"
"1026","PF00132","Bacterial transferase hexapeptide (six repeats)"
"1024","PF01618","MotA/TolQ/ExbB proton channel family"
"1023","PF01557","Fumarylacetoacetate (FAA) hydrolase family"
"1016","PF02347","Glycine cleavage system P-protein"
"1016","PF00154","recA bacterial DNA recombination protein"
"1016","PF00122","E1-E2 ATPase"
"1014","PF00096","Zinc finger, C2H2 type"
"1013","PF00809","Pterin binding enzyme"
"1007","PF00850","Histone deacetylase domain"
"1005","PF03796","DnaB-like helicase C terminal domain"
"1004","PF02562","PhoH-like protein"
"1004","PF01804","Penicillin amidase"
"1004","PF00075","RNase H"
"1002","PF07068","Major capsid protein Gp23"
"1001","PF01040","UbiA prenyltransferase family"
"997","PF08264","Anticodon-binding domain of tRNA ligase"
"992","PF01293","Phosphoenolpyruvate carboxykinase"
"987","PF01434","Peptidase family M41"
"987","PF00013","KH domain"
"984","PF21090","SecA P-loop domain"
"983","PF02574","Homocysteine S-methyltransferase"
"981","PF05221","S-adenosyl-L-homocysteine hydrolase"
"979","PF00342","Phosphoglucose isomerase"
"978","PF02780","Transketolase, C-terminal domain"
"977","PF01553","Acyltransferase"
"977","PF00587","tRNA synthetase class II core domain (G, H, P, S and T)"
"975","PF01145","SPFH domain / Band 7 family"
"974","PF14765","Polyketide synthase dehydratase N-terminal domain"
"973","PF13087","AAA domain"
"971","PF21089","Polyketide synthase dehydratase domain"
"969","PF01063","Amino-transferase class IV"
"965","PF01494","FAD binding domain"
"965","PF00344","SecY"
"963","PF01761","3-dehydroquinate synthase"
"962","PF00496","Bacterial extracellular solute-binding proteins, family 5 Middle"
"961","PF01264","Chorismate synthase"
"958","PF02729","Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain"
"957","PF13385","Concanavalin A-like lectin/glucanases superfamily"
"956","PF01070","FMN-dependent dehydrogenase"
"955","PF04820","Tryptophan halogenase"
"955","PF02769","AIR synthase related protein, C-terminal domain"
"954","PF01642","Methylmalonyl-CoA mutase"
"953","PF02896","PEP-utilising enzyme, PEP-binding domain"
"951","PF00651","BTB/POZ domain"
"947","PF00682","HMGL-like"
"946","PF12775","P-loop containing dynein motor region"
"944","PF13857","Ankyrin repeats (many copies)"
"943","PF13361","UvrD-like helicase C-terminal domain"
"942","PF01406","tRNA synthetases class I (C) catalytic domain"
"940","PF01432","Peptidase family M3"
"939","PF00465","Iron-containing alcohol dehydrogenase"
"937","PF01380","SIS domain"
"937","PF00581","Rhodanese-like domain"
"935","PF01636","Phosphotransferase enzyme family"
"932","PF03721","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain"
"929","PF05193","Peptidase M16 inactive domain"
"927","PF13639","Ring finger domain"
"927","PF02738","Molybdopterin cofactor-binding domain"
"924","PF00732","GMC oxidoreductase"
"922","PF01612","3'-5' exonuclease"
"920","PF06723","MreB/Mbl protein"
"919","PF01479","S4 domain"
"919","PF00488","MutS domain V"
"916","PF00590","Tetrapyrrole (Corrin/Porphyrin) Methylases"
"913","PF00632","HECT-domain (ubiquitin-transferase)"
"910","PF02800","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
"907","PF07631","Protein of unknown function (DUF1592)"
"904","PF02547","Queuosine biosynthesis protein"
"901","PF10609","NUBPL iron-transfer P-loop NTPase"
"901","PF00490","Delta-aminolevulinic acid dehydratase"
"901","PF00384","Molybdopterin oxidoreductase"
"896","PF00355","Rieske [2Fe-2S] domain"
"896","PF00091","Tubulin/FtsZ family, GTPase domain"
"895","PF06418","CTP synthase N-terminus"
"892","PF13640","2OG-Fe(II) oxygenase superfamily"
"892","PF04545","Sigma-70, region 4"
"891","PF03989","DNA gyrase C-terminal domain, beta-propeller"
"888","PF03144","Elongation factor Tu domain 2"
"883","PF00128","Alpha amylase, catalytic domain"
"881","PF01549","ShK domain-like"
"878","PF00551","Formyl transferase"
"877","PF00121","Triosephosphate isomerase"
"874","PF17862","AAA+ lid domain"
"874","PF00773","RNB domain"
"874","PF00679","Elongation factor G C-terminus"
"874","PF00136","DNA polymerase family B"
"872","PF04551","GcpE protein"
"869","PF13469","Sulfotransferase family"
"867","PF10150","Ribonuclease E/G family"
"865","PF02878","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
"865","PF00482","Type II secretion system (T2SS), protein F"
"864","PF02687","FtsX-like permease family"
"864","PF00903","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"
"861","PF00289","Biotin carboxylase, N-terminal domain"
"860","PF08385","Dynein heavy chain, N-terminal region 1"
"857","PF17919","RNase H-like domain found in reverse transcriptase"
"857","PF00491","Arginase family"
"856","PF01467","Cytidylyltransferase-like"
"852","PF01808","AICARFT/IMPCHase bienzyme"
"851","PF02934","GatB/GatE catalytic domain"
"848","PF02254","TrkA-N domain"
"847","PF00623","RNA polymerase Rpb1, domain 2"
"842","PF05658","YadA head domain repeat (2 copies)"
"841","PF01556","DnaJ C terminal domain"
"841","PF00724","NADH:flavin oxidoreductase / NADH oxidase family"
"839","PF02781","Glucose-6-phosphate dehydrogenase, C-terminal domain"
"839","PF02776","Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
"838","PF08281","Sigma-70, region 4"
"838","PF00856","SET domain"
"835","PF10294","Lysine methyltransferase"
"834","PF01409","tRNA synthetases class II core domain (F)"
"832","PF01753","MYND finger"
"831","PF07859","alpha/beta hydrolase fold"
"831","PF00146","NADH dehydrogenase"
"828","PF20256","Molybdopterin cofactor-binding domain"
"828","PF05050","Methyltransferase FkbM domain"
"825","PF00750","tRNA synthetases class I (R)"
"824","PF00668","Condensation domain"
"822","PF02469","Fasciclin domain"
"820","PF13086","AAA domain"
"817","PF00762","Ferrochelatase"
"814","PF01327","Polypeptide deformylase"
"813","PF00586","AIR synthase related protein, N-terminal domain"
"809","PF07687","Peptidase dimerisation domain"
"809","PF00303","Thymidylate synthase"
"808","PF01435","Peptidase family M48"
"804","PF00308","Bacterial dnaA  protein"
"803","PF00515","Tetratricopeptide repeat"
"802","PF03457","Helicase associated domain"
"801","PF04389","Peptidase family M28"
"799","PF13378","Enolase C-terminal domain-like"
"799","PF02913","FAD linked oxidases, C-terminal domain"
"799","PF02784","Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
"799","PF01653","NAD-dependent DNA ligase adenylation domain"
"798","PF07969","Amidohydrolase family"
"797","PF00205","Thiamine pyrophosphate enzyme, central domain"
"794","PF01138","3' exoribonuclease family, domain 1"
"794","PF00070","Pyridine nucleotide-disulphide oxidoreductase"
"793","PF00343","Carbohydrate phosphorylase"
"792","PF00675","Insulinase (Peptidase family M16)"
"789","PF02874","ATP synthase alpha/beta family, beta-barrel domain"
"789","PF01011","PQQ enzyme repeat"
"788","PF00375","Sodium:dicarboxylate symporter family"
"786","PF03486","HI0933-like protein"
"784","PF13920","Zinc finger, C3HC4 type (RING finger)"
"783","PF07995","Glucose / Sorbosone dehydrogenase"
"783","PF02548","Ketopantoate hydroxymethyltransferase"
"781","PF00346","Respiratory-chain NADH dehydrogenase, 49 Kd subunit"
"776","PF12777","Microtubule-binding stalk of dynein motor"
"776","PF03050","Transposase IS66 family"
"776","PF01551","Peptidase family M23"
"776","PF00591","Glycosyl transferase family, a/b domain"
"775","PF01795","MraW methylase family"
"774","PF01490","Transmembrane amino acid transporter protein"
"773","PF01715","IPP transferase"
"771","PF01144","Coenzyme A transferase"
"771","PF00218","Indole-3-glycerol phosphate synthase"
"770","PF07627","Protein of unknown function (DUF1588)"
"766","PF00899","ThiF family"
"766","PF00691","OmpA family"
"763","PF13533","Biotin-lipoyl like"
"763","PF05199","GMC oxidoreductase"
"763","PF00628","PHD-finger"
"763","PF00440","Bacterial regulatory proteins, tetR family"
"762","PF13347","MFS/sugar transport protein"
"759","PF00125","Core histone H2A/H2B/H3/H4"
"754","PF13414","TPR repeat"
"751","PF00771","FHIPEP family"
"748","PF13292","1-deoxy-D-xylulose-5-phosphate synthase"
"748","PF02028","BCCT, betaine/carnitine/choline family transporter"
"746","PF00923","Transaldolase/Fructose-6-phosphate aldolase"
"745","PF10431","C-terminal, D2-small domain, of ClpB protein"
"745","PF01695","IstB-like ATP binding protein"
"743","PF01915","Glycosyl hydrolase family 3 C-terminal domain"
"741","PF00472","RF-1 domain"
"740","PF02415","Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat"
"740","PF01180","Dihydroorotate dehydrogenase"
"739","PF01968","Hydantoinase/oxoprolinase"
"739","PF00370","FGGY family of carbohydrate kinases, N-terminal domain"
"739","PF00111","2Fe-2S iron-sulfur cluster binding domain"
"738","PF00025","ADP-ribosylation factor family"
"734","PF00665","Integrase core domain"
"732","PF01476","LysM domain"
"730","PF00196","Bacterial regulatory proteins, luxR family"
"728","PF02774","Semialdehyde dehydrogenase, dimerisation domain"
"722","PF13614","AAA domain"
"721","PF13692","Glycosyl transferases group 1"
"721","PF02355","Protein export membrane protein"
"721","PF00702","haloacid dehalogenase-like hydrolase"
"720","PF07728","AAA domain (dynein-related subfamily)"
"719","PF13570","PQQ-like domain"
"718","PF04997","RNA polymerase Rpb1, domain 1"
"718","PF01751","Toprim domain"
"718","PF00238","Ribosomal protein L14p/L23e"
"713","PF13177","DNA polymerase III, delta subunit"
"713","PF02897","Prolyl oligopeptidase, N-terminal beta-propeller domain"
"712","PF01168","Alanine racemase, N-terminal domain"
"711","PF03129","Anticodon binding domain"
"711","PF01960","ArgJ family"
"711","PF01379","Porphobilinogen deaminase, dipyromethane cofactor binding domain"
"710","PF05725","FNIP Repeat"
"709","PF02954","Bacterial regulatory protein, Fis family"
"707","PF12831","FAD dependent oxidoreductase"
"707","PF02785","Biotin carboxylase C-terminal domain"
"704","PF01474","Class-II DAHP synthetase family"
"703","PF03023","Lipid II flippase MurJ"
"703","PF02092","Glycyl-tRNA synthetase beta subunit"
"703","PF00902","Sec-independent protein translocase protein (TatC)"
"702","PF02401","LytB protein"
"702","PF00510","Cytochrome c oxidase subunit III"
"702","PF00389","D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
"701","PF00232","Glycosyl hydrolase family 1"
"700","PF00881","Nitroreductase family"
"699","PF01255","Putative undecaprenyl diphosphate synthase"
"698","PF00024","PAN domain"
"697","PF02146","Sir2 family"
"697","PF00179","Ubiquitin-conjugating enzyme"
"697","PF00177","Ribosomal protein S7p/S5e"
"696","PF03331","UDP-3-O-acyl N-acetylglycosamine deacetylase"
"696","PF01189","16S rRNA methyltransferase RsmB/F"
"695","PF16499","Alpha galactosidase A"
"694","PF03480","Bacterial extracellular solute-binding protein, family 7"
"694","PF00462","Glutaredoxin"
"693","PF03739","Lipopolysaccharide export system permease LptF/LptG"
"692","PF00231","ATP synthase"
"691","PF00213","ATP synthase delta (OSCP) subunit"
"689","PF00989","PAS fold"
"687","PF17657","Bacterial DNA polymerase III alpha subunit finger domain"
"687","PF02773","S-adenosylmethionine synthetase, C-terminal domain"
"685","PF01062","Bestrophin, RFP-TM, chloride channel"
"685","PF00994","Probable molybdopterin binding domain"
"685","PF00984","UDP-glucose/GDP-mannose dehydrogenase family, central domain"
"685","PF00406","Adenylate kinase"
"684","PF20434","BD-FAE"
"683","PF06253","Trimethylamine methyltransferase (MTTB)"
"683","PF00817","impB/mucB/samB family"
"680","PF03600","Citrate transporter"
"678","PF01964","Radical SAM ThiC family"
"676","PF07596","Protein of unknown function (DUF1559)"
"676","PF02545","Maf-like protein"
"675","PF02782","FGGY family of carbohydrate kinases, C-terminal domain"
"673","PF00950","ABC 3 transport family"
"672","PF00227","Proteasome subunit"
"671","PF00380","Ribosomal protein S9/S16"
"671","PF00233","3'5'-cyclic nucleotide phosphodiesterase"
"669","PF00875","DNA photolyase"
"668","PF01026","TatD related DNase"
"667","PF03055","Retinal pigment epithelial membrane protein"
"667","PF00306","ATP synthase alpha/beta chain, C terminal domain"
"666","PF00925","GTP cyclohydrolase II"
"666","PF00141","Peroxidase"
"665","PF03054","tRNA methyl transferase HUP domain"
"665","PF00204","DNA gyrase B"
"663","PF00034","Cytochrome c"
"662","PF04539","Sigma-70 region 3"
"662","PF00033","Cytochrome b/b6/petB"
"660","PF01268","Formate--tetrahydrofolate ligase"
"653","PF12833","Helix-turn-helix domain"
"653","PF07683","Cobalamin synthesis protein cobW C-terminal domain"
"652","PF13360","PQQ-like domain"
"652","PF02511","Thymidylate synthase complementing protein"
"652","PF00494","Squalene/phytoene synthase"
"652","PF00487","Fatty acid desaturase"
"651","PF04898","Glutamate synthase central domain"
"650","PF13419","Haloacid dehalogenase-like hydrolase"
"650","PF10502","Signal peptidase, peptidase S26"
"649","PF08450","SMP-30/Gluconolactonase/LRE-like region"
"648","PF00216","Bacterial DNA-binding protein"
"646","PF02861","Clp amino terminal domain, pathogenicity island component"
"646","PF00026","Eukaryotic aspartyl protease"
"644","PF02397","Bacterial sugar transferase"
